hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_times,epoch_losses
32,2,0.05,30,181.14581,129.15776,-0.0646892786026001,18.89994583129883,"[18.181760787963867, 20.332950830459595, 18.615371227264404, 18.763410329818726, 18.60623598098755]","[109401.4358170022, 35871.59879379605, 35866.923094770274, 35875.1844846234, 35872.86058810705]"
32,2,0.01,30,180.31256,128.65761,-0.05043751001358032,18.689444875717165,"[18.72500777244568, 18.515118837356567, 18.677470684051514, 18.770719289779663, 18.758907794952393]","[382146.20836229617, 35868.08225766644, 35849.41266282261, 35851.326314867845, 35857.12787225049]"
32,2,0.005,30,181.1198,128.602,-0.06268876791000366,18.45237668355306,"[18.51414132118225, 18.46652626991272, 18.50485348701477, 18.498253107070923, 18.49555253982544, 18.234933376312256]","[671185.2449124932, 66389.89217673223, 35850.34213163551, 35844.317875891276, 35847.75311392572, 35850.70160458494]"
32,2,0.001,30,53.232918,34.525547,0.8969663977622986,19.146314533551536,"[19.18117904663086, 18.5344820022583, 18.737694025039673, 18.460593461990356, 18.41889476776123, 18.49535083770752, 18.462618112564087, 18.4787335395813, 19.9016592502594, 20.431488513946533, 20.7302143573761, 21.35443425178528, 19.9672372341156, 19.54846501350403, 19.800113439559937, 19.800336599349976, 19.768916606903076, 18.761518955230713, 18.23198366165161, 18.709174633026123, 19.040822505950928, 19.999330759048462, 18.893717288970947, 18.18450117111206, 18.30935001373291, 17.93877077102661, 18.39707112312317, 19.362375020980835, 19.485533952713013, 19.002875089645386]","[1250409.7430233352, 853202.7782392877, 561495.3870684361, 348808.3839063353, 193663.5720758563, 93437.61903667866, 45314.643759914885, 32546.167483667097, 26698.586415120088, 22389.83331771917, 19224.97209380704, 16955.794565992062, 13722.503173494964, 12365.413486080919, 10555.730540046525, 9981.473318441465, 9254.001546909716, 8667.17937783487, 8672.730867365042, 8398.483560545475, 8259.883122681531, 7152.760854846005, 6771.575412521196, 6710.028892950199, 6622.320740574833, 5426.9083717504445, 4875.425423706462, 2785.9109674832707, 2192.098391757782, 2080.478588491548]"
32,2,0.0005,30,180.7888,128.58255,-0.05767291784286499,19.378149072329204,"[19.800973892211914, 18.435588121414185, 20.66411256790161, 19.171144247055054, 18.946938037872314, 19.091450452804565, 20.456146478652954, 18.786283016204834, 19.163785219192505, 19.227465391159058, 19.14907193183899, 19.149051904678345, 19.182417631149292, 18.9487464427948, 18.654149055480957, 18.97684121131897, 19.39931893348694, 21.603198766708374]","[1365567.5528964247, 1135898.1993978575, 935076.4746605486, 762415.1088803221, 616855.5580649563, 494308.853571063, 387759.63755884964, 295549.2467590066, 217645.7716272346, 153967.43800107465, 104384.57438613025, 68766.54541548683, 46751.53731993296, 37308.12959855925, 35864.04783183935, 35842.83223994226, 35841.258792727276, 35841.76284616795]"
32,2,0.0001,30,632.29584,484.7495,-9.138346672058105,19.64733095963796,"[21.286338806152344, 21.8492329120636, 21.885735273361206, 20.08633852005005, 19.935667037963867, 19.620064973831177, 19.33539915084839, 19.417048931121826, 19.36215853691101, 19.38837742805481, 19.396109342575073, 19.354258060455322, 19.331017017364502, 19.35863709449768, 19.384663105010986, 19.349056243896484, 19.352475881576538, 19.373078107833862, 19.351519346237183, 19.31456232070923, 19.32739758491516, 19.363461017608643, 19.37621808052063, 19.413854122161865, 19.389010667800903, 19.341140508651733, 19.361621856689453, 19.383208990097046, 19.371726274490356, 19.360551595687866]","[1466447.9629332696, 1414954.2447120633, 1365041.7265795579, 1316306.6565740993, 1268681.2234409116, 1222277.5953107942, 1177011.279058065, 1132908.7311340065, 1089958.783936613, 1048141.8024529204, 1007557.7562346479, 968093.7039011327, 929798.7007624863, 892664.5996690776, 856720.507931905, 821892.6013919214, 788220.2058798444, 755726.9546772653, 724361.2573007642, 694175.2064683406, 665080.1616573418, 637145.9601229872, 610295.9437474413, 584401.7971905704, 559341.9019343613, 534955.5795663892, 511173.47333003546, 487988.2345754299, 465378.55483675626, 443359.4215807519]"
32,2,5e-05,30,895.3089,728.7068,-19.647680282592773,19.395489859580994,"[19.379586696624756, 19.39158344268799, 19.41224431991577, 19.39579963684082, 19.355584144592285, 19.468656301498413, 19.37869143486023, 19.34862446784973, 19.4132399559021, 19.391018867492676, 19.3649640083313, 19.367228031158447, 19.40440559387207, 19.376929759979248, 19.423222541809082, 19.3841495513916, 19.42197275161743, 19.358099699020386, 19.41091799736023, 19.36016011238098, 19.398797035217285, 19.388081312179565, 19.458765268325806, 19.37177848815918, 19.49818706512451, 19.40399980545044, 19.38007402420044, 19.381468534469604, 19.36707377433777, 19.409391164779663]","[1478284.1755936136, 1451824.6068504367, 1426248.09008256, 1401021.0667474072, 1376041.7950839247, 1351357.5275143287, 1326968.994865584, 1302873.1904680678, 1279030.6457423582, 1255498.3668719295, 1232302.0102006004, 1209384.8381976665, 1186736.3489270606, 1164358.900637964, 1142340.35339622, 1120562.8334299945, 1099060.9129025654, 1077888.175405977, 1056997.0871912527, 1036379.1515420306, 1016098.2998174808, 996084.1149955649, 976333.5565979803, 956913.201649495, 937796.17785378, 918933.279049536, 900411.6689495769, 882118.0278384279, 864169.7370786709, 846470.5682655568]"
32,2,1e-05,30,1197.715,1077.9813,-38.312042236328125,19.38252682685852,"[19.33053493499756, 19.352924346923828, 19.459537029266357, 19.347188472747803, 19.422449350357056]","[1491693.251825191, 1485115.1918497544, 1479870.1966941867, 1474666.9758119541, 1469473.302248226]"
32,3,0.05,30,182.78809,127.55936,-0.08441436290740967,21.516840839385985,"[21.523669958114624, 21.51997423171997, 21.470702409744263, 21.491304397583008, 21.578553199768066]","[110902.33656344352, 35869.70570633401, 35870.16810654553, 35865.4813536265, 35867.938907140204]"
32,3,0.01,30,181.48064,128.21945,-0.06701397895812988,21.51208577156067,"[21.482494115829468, 21.508482456207275, 21.486925840377808, 21.554208040237427, 21.528318405151367]","[382070.97501156735, 35868.145870425295, 35852.15924472059, 35845.19513126023, 35852.26092116177]"
