hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_times,epoch_losses
32,2,0.05,30,180.96608,128.5457,-0.0602567195892334,19.015272998809813,"[18.659902334213257, 19.082695484161377, 19.140686511993408, 19.115869283676147, 19.077211380004883]","[109207.71504631209, 35866.09808216345, 35876.06687214281, 35869.94377682615, 35867.255700390415]"
32,2,0.01,30,180.917,128.41116,-0.059130072593688965,19.09112482070923,"[19.164062023162842, 19.01929235458374, 19.150702953338623, 19.088690757751465, 19.032876014709473]","[382712.14264955476, 35866.615822204854, 35850.33927737574, 35845.9514300084, 35849.6491476667]"
32,2,0.005,30,180.84512,128.49147,-0.05819147825241089,19.153224031130474,"[19.023895978927612, 19.107672452926636, 19.02751135826111, 19.01163387298584, 19.02704644203186, 19.72158408164978]","[671641.3067024597, 66419.1534060016, 35846.716851913254, 35851.974358704414, 35848.09099209048, 35851.743474568866]"
32,2,0.001,30,180.70651,128.68585,-0.0566556453704834,19.068249442360617,"[19.279347896575928, 19.046950578689575, 19.0704927444458, 19.00477123260498, 19.04242467880249, 19.01570987701416, 19.028873682022095, 19.038784742355347, 19.07067084312439, 19.012592792510986, 19.140124797821045]","[1253359.6890522654, 855638.6705274291, 563333.6831843613, 350187.6527296841, 194586.69215892808, 94010.60766654868, 45497.4268017898, 35956.86945139789, 35843.54944713876, 35841.79515788649, 35842.00845137017]"
32,2,0.0005,30,180.82817,128.63692,-0.05845081806182861,19.05210949314965,"[19.0363130569458, 19.01627540588379, 19.028802633285522, 19.05251717567444, 19.01083993911743, 19.00125551223755, 19.0232150554657, 19.05395793914795, 19.05393385887146, 19.05514907836914, 19.080368280410767, 19.043134450912476, 19.11624026298523, 19.099647998809814, 19.0899555683136, 19.048684120178223, 19.08593726158142, 19.041743278503418]","[1365733.0884791212, 1136171.1098952647, 935367.1685487173, 762705.8207815911, 617120.5097059224, 494488.6030891785, 387899.0318598185, 295721.86078227346, 217783.8959257301, 154089.08127643968, 104490.79025121963, 68845.65573933031, 46783.72212665674, 37320.985687522385, 35863.22193608846, 35841.90501623695, 35843.05854564151, 35847.51266972571]"
32,2,0.0001,30,632.3967,484.83777,-9.141731262207031,19.042215736707053,"[19.139994144439697, 19.092018127441406, 19.058260202407837, 19.055052042007446, 19.057238578796387, 19.094080686569214, 19.05565333366394, 18.98791480064392, 19.053647756576538, 19.007499933242798, 19.004351139068604, 19.092060804367065, 19.0183048248291, 19.02944827079773, 19.05093002319336, 19.0065655708313, 19.013237714767456, 19.072197914123535, 19.002110958099365, 18.99721360206604, 19.059589862823486, 19.026095390319824, 19.04113459587097, 18.997782707214355, 19.054932594299316, 18.99320411682129, 19.02785563468933, 19.05179500579834, 19.089855194091797, 19.036446571350098]","[1466066.481321643, 1414703.6244370907, 1364802.475078466, 1316083.0194800764, 1268441.9492358079, 1222062.3149051582, 1176823.0211602757, 1132755.6382198418, 1089843.4103097708, 1048015.3780362991, 1007457.1634569459, 968024.6823911709, 929753.6918326966, 892638.1455206058, 856681.4042457014, 821888.1448382915, 788267.3031522926, 755774.8017023745, 724412.3237752456, 694252.8670425082, 665182.6233411231, 637264.9928484921, 610427.2153896015, 584549.4997270743, 559500.7754716498, 535116.1791714997, 511324.0309259007, 488130.71373498905, 465518.1735125546, 443495.3394173035]"
32,2,5e-05,30,896.0323,729.8467,-19.68758201599121,19.017850089073182,"[19.037365436553955, 19.022596836090088, 19.012279987335205, 19.04451870918274, 19.020589113235474, 19.02771234512329, 19.055790901184082, 19.014203310012817, 19.01518750190735, 19.016107320785522, 19.020607471466064, 18.98765993118286, 18.935417652130127, 19.020169973373413, 19.03149151802063, 18.998589515686035, 19.007265090942383, 19.014542818069458, 18.969687938690186, 19.042795181274414, 18.983689069747925, 18.99897813796997, 19.071664571762085, 18.995200634002686, 19.016404151916504, 19.00443124771118, 19.05433416366577, 19.073057413101196, 18.993136405944824, 19.050028324127197]","[1480144.5215099617, 1453884.7052572325, 1428334.4348048582, 1403020.799689547, 1378017.0818777292, 1353299.8986933678, 1328861.7651644377, 1304720.7947257096, 1280913.5471479257, 1257370.6664676582, 1234125.4511462883, 1211126.3955888373, 1188460.1249914712, 1166104.9147704013, 1144006.3087557997, 1122207.128044828, 1100691.3329353165, 1079485.4086039846, 1058565.0019190093, 1037949.721811886, 1017595.7806444459, 997563.9620633188, 977810.8818487308, 958331.6750904067, 939208.9820295442, 920326.8434003139, 901733.7608061545, 883448.5950719842, 865419.0828926719, 847752.7735142604]"
32,2,1e-05,30,1197.6394,1077.6902,-38.29749298095703,19.011262273788454,"[18.995100259780884, 18.96931529045105, 19.02469825744629, 19.03528094291687, 19.031916618347168]","[1491429.3904373636, 1484979.8458651747, 1479730.3289608352, 1474529.0379196233, 1469317.8424365448]"
32,3,0.05,30,181.28706,128.01004,-0.06348103284835815,20.760277652740477,"[20.812074184417725, 20.73741912841797, 20.746736764907837, 20.74630570411682, 20.75885248184204]","[109346.17776675828, 35867.352198438355, 35869.178151626256, 35875.673821328506, 35867.63515169235]"
32,3,0.01,30,180.74026,128.24843,-0.05578923225402832,20.768856859207155,"[20.756983280181885, 20.72382879257202, 20.75773572921753, 20.735102891921997, 20.870633602142334]","[382055.76280778775, 35861.850409761784, 35850.027247133214, 35846.64268593601, 35845.6837308792]"
