hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses
50,2,0.1,30,179.63782,128.72362,-0.04035001993179321,20.2548330783844,"[80305.0006290086, 35890.32005543271, 35884.29828973629, 35883.715474091245, 35886.11871098015]"
50,2,0.05,30,181.10347,129.76442,-0.06570875644683838,19.85036187171936,"[101299.95443499036, 35877.528808860276, 35879.149599166936, 35875.17453216153, 35874.87845021877]"
50,2,0.01,30,180.73189,128.64311,-0.05696535110473633,19.819443798065187,"[265812.71741708816, 35850.06660761271, 35850.28702235326, 35846.865342519166, 35855.860386877604]"
50,2,0.005,30,180.67253,128.9029,-0.056773841381073,19.73593024412791,"[474324.73563781474, 36883.49995728872, 35850.09176129337, 35851.03790696323, 35859.32550675172, 35849.30253541105]"
50,2,0.001,30,17.49769,13.3821125,0.9889509677886963,19.84799366792043,"[1137526.6136650518, 617718.0414889806, 296504.7169269412, 110454.0287824739, 39252.77769530184, 24772.70075775546, 20160.835406007725, 14845.755665541736, 11728.502647033425, 7412.5388629863355, 3237.7757273115967, 1747.4690996309555, 1131.3912682278187, 917.8463343220507, 773.8414588666899, 628.6006487719877, 518.1408593683263, 455.7294446198701, 402.8905181413655, 368.94683847026533, 350.30584277336254, 330.22135568498004, 309.4223816530153, 296.6972171242581, 289.16418387861233, 285.72168177886823, 271.7555701693593, 275.8046650412822, 254.14481206934525, 249.16572718797292]"
50,2,0.0005,30,180.94058,128.5487,-0.05991452932357788,19.938558725210335,"[1298642.6020912938, 970559.7660770332, 709090.5046013579, 507225.3339417303, 347505.86640283844, 221784.17006899905, 129480.01162173341, 70002.93156706297, 41485.95065001109, 35920.59768889981, 35843.91194039557, 35841.94037491578, 35843.195671248126]"
50,2,0.0001,30,374.227,289.6312,-2.7134299278259277,19.931726241111754,"[1449267.9928356986, 1370998.6298273744, 1296033.0422864356, 1223839.4293634007, 1154417.247910412, 1087762.076393627, 1023876.4438540529, 962768.358760917, 904408.1818112036, 848793.288218136, 795937.0234460289, 745836.2688233488, 698472.0967692413, 653762.8212677402, 611688.06433372, 571949.5803553152, 534059.4048768423, 497617.9998550082, 462639.1937517058, 429018.46072001226, 396791.44531676447, 365955.25504486216, 336506.1347826829, 308430.35156676447, 281756.7089545237, 256462.15722229803, 232556.55819502252, 210030.08742153386, 188910.52730536982, 169150.16569152565]"
50,2,5e-05,30,743.57465,567.23486,-12.950129508972168,19.924706260363262,"[1469537.6504162117, 1428768.9135848798, 1389826.8163721343, 1351564.591174263, 1313969.7731304585, 1277091.6051787664, 1240910.172011463, 1205444.3145128274, 1170666.213265898, 1136528.199329626, 1103174.401260576, 1070455.8764499181, 1038427.0031386463, 1007129.2459487582, 976526.4598543259, 946577.7331809498, 917326.376100232, 888810.3740447598, 860981.2780687091, 833824.6696404204, 807343.3677845252, 781608.5982532752, 756528.709240243, 732171.3519036572, 708473.9609460289, 685469.1396697598, 663133.1500409389, 641521.7992545716, 620505.7536759689, 600127.8370164096]"
50,3,0.1,30,180.32237,128.60074,-0.05051088333129883,21.438690090179442,"[88356.96002823609, 35877.34464287238, 35882.72133013463, 35878.4222518721, 35885.83548386753]"
50,3,0.05,30,181.86002,128.65457,-0.07409226894378662,21.308637285232543,"[135683.19136893592, 35858.61985432321, 35859.46551806854, 35869.61994314402, 35858.032540933535]"
