hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses
50,2,0.1,30,181.99445,127.81297,-0.07339000701904297,18.271869277954103,"[59725.990157881155, 35921.35288211873, 35932.6132729876, 35921.52227836509, 35928.06800982213]"
50,2,0.05,30,181.42499,127.92789,-0.06529229879379272,18.13493456840515,"[83474.27088268563, 35892.26576132962, 35880.66613036576, 35885.05100260239, 35883.60067642412]"
50,2,0.01,30,180.82184,128.32443,-0.05740624666213989,18.24235005378723,"[264456.42791088385, 35857.81178836739, 35849.82869510567, 35854.73391557052, 35850.63027594287]"
50,2,0.005,30,181.18066,128.01027,-0.06178915500640869,18.079183618227642,"[476607.21285277786, 36950.776632383924, 35850.818469184975, 35848.94069648309, 35853.87223809255, 35848.03145256209]"
50,2,0.001,30,180.59575,128.77936,-0.05529147386550903,18.145708057615494,"[1141718.8965099617, 620539.188288926, 298230.1663525177, 111196.52106965578, 41786.210735470966, 35844.22056826129, 35846.24274694451, 35845.92346351324, 35842.31941902794]"
50,2,0.0005,30,180.94728,128.67831,-0.06037551164627075,18.09790114256052,"[1301903.270025928, 973482.1608812091, 711415.9479394105, 509029.2186263305, 348970.9353379162, 222904.85163073143, 130262.50601609409, 70407.70445657922, 41635.26989639482, 35921.916686212135, 35845.34671966686, 35842.475015432035, 35849.126893422486]"
50,2,0.0001,30,375.1968,290.30835,-2.731513500213623,18.179729342460632,"[1451440.0830376637, 1373368.1293838702, 1298282.9380543805, 1226103.575071643, 1156638.12795101, 1089895.6004025654, 1025978.8542149973, 964834.448604667, 906421.0046056223, 850769.6482754503, 797857.8966208379, 747696.6796875, 700282.046030636, 655533.925670374, 613388.430054244, 573606.8437286777, 535629.2010482055, 499180.7734972025, 464102.8711193368, 430430.5311263305, 398129.73767996044, 367231.82019309496, 337721.4240584061, 309602.8058218477, 282857.76661222364, 257509.5534699952, 233538.07019735946, 210953.55815024563, 189774.86636232602, 169956.69733918703]"
50,2,5e-05,30,744.0958,567.557,-12.965989112854004,18.109744946161907,"[1469915.5299536027, 1429803.834845797, 1390825.300900655, 1352571.127439274, 1314973.251330513, 1278077.4468647654, 1241900.2315263373, 1206399.8520060044, 1171612.7867852757, 1137489.1280874726, 1104077.5538004912, 1071410.5191048034, 1039360.6876023471, 1008062.229854667, 977437.885021493, 947516.4551207697, 918276.0827391512, 889730.2644565366, 861863.7643712473, 834711.689564001, 808250.311757983, 782485.9270691185, 757403.3808934907, 733025.4306171534, 709335.8694732533, 686327.8127729257, 664001.8557587336, 642328.2170612719, 621297.2721666894, 600951.7959751979]"
50,3,0.1,30,181.60713,127.815956,-0.06762087345123291,19.62178783416748,"[59451.508541723524, 35923.53372512218, 35925.414534256444, 35927.77456864936, 35931.27291083856]"
50,3,0.05,30,182.7711,126.502884,-0.08024471998214722,19.762144088745117,"[83362.64125454165, 35893.534836281855, 35883.129501009615, 35886.475795962404, 35891.58634702191]"
50,3,0.01,30,180.37782,128.94101,-0.052369117736816406,19.768750143051147,"[264505.7965531662, 35854.518218327816, 35851.20123477586, 35856.58953057835, 35849.075255747965]"
50,3,0.005,30,181.634,128.14896,-0.06906998157501221,19.71412754058838,"[476473.4079840381, 36891.603688602365, 35847.74396711458, 35846.62831788709, 35851.33149672596, 35845.89395488089]"
50,3,0.001,30,180.70374,128.65927,-0.05655187368392944,19.779482311672634,"[1140430.4040239493, 619710.7201487445, 297734.3186578876, 111042.94710410839, 41736.81922639405, 35842.506070532654, 35845.38876942464, 35845.15625839566, 35845.89809767544]"
50,3,0.0005,30,180.74068,128.742,-0.05741316080093384,19.717897781958946,"[1301598.8202869133, 973281.9554022243, 711386.3754179176, 509103.34295254503, 349009.3555007335, 222956.74880808202, 130299.73579506687, 70436.07757728276, 41676.65253471808, 35928.18118326112, 35843.616067411596, 35841.50212157137, 35842.71383213893]"
50,3,0.0001,30,375.09192,290.21124,-2.7293286323547363,19.726790912946065,"[1451364.9952749726, 1373300.32836381, 1298251.8956570688, 1226021.0522908706, 1156549.5833447052, 1089820.5143286027, 1025880.6910906796, 964710.2459317003, 906283.0042388783, 850628.8755373226, 797733.6463990856, 747565.3193657887, 700092.7505884962, 655377.7925977416, 613216.4004631209, 573427.0557706741, 535472.7322939411, 499022.4141477893, 463937.0241326078, 430266.2902096411, 397990.1221129572, 367081.4145145333, 337597.6166757642, 309475.7762691048, 282749.6706425696, 257401.95198212337, 233430.48034721275, 210863.77855699032, 189666.70070065162, 169859.28036192516]"
50,3,5e-05,30,744.50867,567.83984,-12.982967376708984,19.396056962013244,"[1470599.2061442412, 1430586.1485057315, 1391623.4359818504, 1353315.341071916, 1315755.833259416, 1278860.8491573418, 1242652.7496759007, 1207184.413329012, 1172357.3743262144, 1138280.2079779613, 1104863.7284132778, 1072139.2312192959, 1040093.6333071779, 1008792.3851579558, 978152.1962080377, 948224.9665580649, 918974.3306666212, 890433.1203687909, 862577.783092249, 835424.3167559361, 808944.323476733, 783148.5949525791, 758068.1355844022, 733712.3525603848, 709967.2246605486, 686980.5956348935, 664646.9065399836, 642996.4107148949, 621984.5236464588, 601580.9399605964]"
50,4,0.1,30,181.761,128.05484,-0.07070034742355347,20.375716495513917,"[59400.28355447694, 35921.20744357046, 35933.65835797839, 35916.74074091349, 35927.321357827]"
50,4,0.05,30,180.92323,128.3969,-0.059171974658966064,20.328551387786867,"[83088.02356403468, 35886.16782055984, 35885.83337329048, 35885.372706384114, 35887.93923063986]"
50,4,0.01,30,180.83772,128.3139,-0.05754351615905762,20.388187074661253,"[264782.8889486654, 35852.14316862015, 35850.22405992533, 35850.50459063001, 35855.20959819144]"
50,4,0.005,30,180.51607,128.51741,-0.053190767765045166,20.43391501903534,"[476192.5713935419, 36901.7698874661, 35846.13347828961, 35845.42379134399, 35848.48606639346, 35851.18553274896]"
50,4,0.001,30,180.98755,128.34749,-0.05994611978530884,20.555284818013508,"[1141255.5188233487, 620312.0868714178, 298117.00364185317, 111213.27946318914, 41809.323217666824, 35844.12653893883, 35846.43500915261, 35842.50674851597, 35849.934582306305]"
50,4,0.0005,30,180.85632,128.48688,-0.05839967727661133,20.511471418234017,"[1302091.4657734034, 973679.069092863, 711676.1369874113, 509390.1378061886, 349196.9649887418, 223102.83405473866, 130403.96067097093, 70512.64647691218, 41682.70894786052, 35922.28885607324, 35845.59789999083, 35841.53303974268, 35844.956238859086]"
50,4,0.0001,30,374.53326,289.81235,-2.718911647796631,20.43356517950694,"[1449890.7309975438, 1371867.9834709335, 1296841.4070346616, 1224657.9275893832, 1155186.5857498636, 1088536.9559651338, 1024615.2484050901, 963471.7974037937, 905114.2855826966, 849461.0170152156, 796596.0758477757, 746498.1579131414, 699077.0843852347, 654378.7981372817, 612284.0629435044, 572519.6372987173, 534584.3043164916, 498168.3259160071, 463133.0284610398, 429500.3387264602, 397229.1503437159, 366363.77126688726, 336913.31975172285, 308825.0200685726, 282133.70037655224, 256813.9270264738, 232879.97466268082, 210339.84136829627, 189178.32686911503, 169412.78628739936]"
50,4,5e-05,30,744.5315,567.8688,-12.984038352966309,20.455667583147683,"[1470933.2914335425, 1430954.6128036298, 1391977.7670066867, 1353666.680540393, 1316071.914437773, 1279194.917849345, 1242961.489253548, 1207445.5795408024, 1172655.6682502048, 1138517.8613878274, 1105097.126484034, 1072372.8670851528, 1040337.1655721206, 1009009.4472059224, 978361.745240857, 948405.2724822598, 919147.1944169623, 890577.5405635918, 862729.7508187772, 835530.8845865175, 809040.2993739765, 783291.6501944596, 758191.6538618995, 733800.3429568094, 710077.8475880185, 687071.1303646971, 664707.9154527156, 643030.6551113878, 621999.1685273949, 601594.7804440161]"
