hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,combined_rank
100,3,0.0005,30,10.677146,6.83801,0.9961681365966796,22.88370484511057,"[1140825.723517672, 623556.2029672147, 302359.2624842215, 114475.43330323332, 42535.414508003334, 31949.70133085959, 17100.040484116067, 7676.550024977938, 2448.570830318605, 850.0780130218731, 441.62793236658564, 278.4145523180868, 175.60677680542375, 129.4913330115866, 122.28002956483562, 90.57174673572378, 84.02234154705397, 88.676287053584, 80.50743314682396, 73.85633825611599, 109.38268199790774, 109.56213478399155, 90.08475804263848, 84.12075032951009, 87.61308249271593, 83.89192771020154, 78.14292782278301, 79.2233277131116, 100.68047030907792, 104.9539245252526]",1.0,1.0,1.0,0.7383246578846896,0.07383246578846896,-13803.364220716057,3.0,6.073832465788469
100,2,0.0005,30,14.428996,10.812167,0.9932520985603333,21.954698991775512,"[1140698.1336909798, 623318.1916578534, 302346.8338671022, 114391.62117317566, 39664.006494513764, 19120.36965525931, 9361.749009253157, 3491.6694192886353, 1186.3842244044142, 665.4729968011379, 435.40222638975587, 302.50019763286457, 235.54645875877168, 190.41201217257822, 161.66200344179916, 152.0399441885636, 139.80542344544654, 125.59849091401267, 114.03577290950383, 109.03582126643981, 105.05791919083053, 100.15679912692075, 125.12222403144732, 116.39422464071403, 111.1839535193412, 104.38686939215036, 98.52043895078538, 91.92696131420968, 92.97918096418985, 96.06998052295118]",2.0,3.0,2.0,0.5602493113583217,0.05602493113583217,-13685.095351814252,3.2,10.256024931135833
50,3,0.001,30,16.683578,10.710158,0.9901303052902222,21.160818163553877,"[1140335.3430591566, 619464.186335801, 297491.52572965, 110897.28446753889, 41663.96334718929, 35843.11588257369, 34808.111970593316, 25892.961392131954, 20191.803764076732, 14510.77095784683, 11260.334879279657, 9686.212802104033, 9156.39699850957, 8259.451016038787, 7729.597399711609, 7495.373140335083, 7366.0594830866985, 7619.628504157587, 6822.505213662526, 2544.821182359254, 2077.4853946345343, 2169.162795526492, 1670.3011314379596, 1238.03350168857, 1062.3697514284127, 837.7800266352283, 680.0615456859098, 658.9001698980685, 596.8037600610975, 410.58545720056674]",3.0,2.0,3.0,0.40807523938805584,0.04080752393880559,-13938.911817977994,2.9,10.940807523938807
50,2,0.0005,30,18.867533,12.558653,0.987096905708313,19.031919956207275,"[1301044.6717129503, 972521.965696643, 710582.3803561681, 508295.6978882369, 348366.24584214657, 222383.74620249387, 129926.80795301413, 70243.12902885336, 41589.61374301161, 35920.62883322104, 32710.95185512226, 25063.240832699437, 20618.06737628254, 13695.466250490414, 7814.272358119748, 4523.645385960825, 2496.581905968845, 1448.434513789077, 971.3613808014508, 748.1023777437002, 609.250234139278, 509.2702024287532, 442.2838335497931, 386.4090563761615, 359.2440694810001, 312.44379279420883, 294.23892082840075, 286.45466125050484, 253.92773800489684, 226.33992978370867]",5.0,4.0,5.0,0.0,0.0,-24405.941949799722,2.4,16.4
100,3,0.001,30,17.805304,13.576498,0.9877734184265136,22.85337657133738,"[889650.8369012692, 226880.09897610193, 43336.13945560372, 24711.30207798054, 8976.028617958835, 2037.0135753893956, 1172.5289847413526, 825.2386707681756, 653.6598168866603, 626.4688018024228, 500.2131757501952, 474.67006657061097, 432.9696704784335, 379.28609520665424, 389.705758859497, 358.43510761583735, 348.9839764583579, 334.55730646015775, 344.09704335652066, 338.14913387095567, 388.2370945006999, 302.48360527498755, 305.8509634691555, 295.0114836484584, 321.14615907106855, 282.41838761786704, 377.11686235379966, 331.6903453189473, 407.4633626547443, 311.566275562782]",4.0,5.0,4.0,0.7325112199582017,0.07325112199582016,-7516.895677908469,3.9,16.97325112199582
50,2,0.001,30,21.080359,13.618332,0.985243320465088,19.069798056284583,"[1139491.0502524562, 618830.6009441526, 297106.7362129844, 110645.89550088275, 40826.507315556555, 26010.21988208221, 20628.397864562456, 16593.333368293064, 12148.982846872255, 10179.488741862202, 9064.837569607398, 8407.963936235186, 8168.009374468607, 8737.217456401175, 8243.96158879709, 8591.54450527341, 7979.553535544716, 7455.179560782087, 5288.290235269538, 2628.256878061586, 2161.7323338600227, 1996.5513348829277, 1640.2649283398707, 1263.5532759703924, 1069.863717236373, 979.5016433703327, 856.1957304644272, 754.8883384054925, 682.8304928129937, 549.1320362450253]",6.0,6.0,6.0,0.007260617113242472,0.0007260617113242473,-13753.693086336534,3.1,21.100726061711324
50,3,0.0005,30,26.779861,16.410572,0.978366494178772,21.021261421839395,"[1301090.215338428, 972597.1168292849, 710696.6620368791, 508365.50067378546, 348391.38053954014, 222508.2271520623, 129985.900253096, 70248.28161301259, 41607.000800386784, 35924.448454078105, 33404.66334753578, 26293.892081581347, 23439.1155236923, 19235.41979687287, 14826.773520273933, 11217.29618820457, 8690.161897771744, 6823.421001825791, 5264.4811484907395, 4440.560701572218, 3893.2195819309186, 3040.3233912459627, 1796.3902638156342, 1233.2064906780377, 863.0275344036552, 629.8868587855168, 527.7882756666326, 439.3143473582497, 357.8526245615888, 313.3978413249728]",8.0,7.0,7.0,0.38132447667576297,0.0381324476675763,-24364.72304570969,2.5,24.538132447667575
100,2,0.001,30,24.31153,18.007822,0.9780532717704772,22.319238686561583,"[889878.5146910822, 226983.9667830155, 41052.66520657602, 21751.60960171629, 13010.29256490849, 4804.573253140179, 2309.2284442743357, 1879.7221832150456, 1514.8540023372684, 1239.5610245554728, 1123.656723926161, 1035.9677580683513, 624.8579501626793, 526.4112478114632, 510.0474980731198, 466.82425857579346, 475.1886838664134, 448.4693207235836, 435.592475433537, 446.02915776140304, 419.63401162520245, 443.3314640891604, 433.04988653066374, 441.22146316985373, 442.38295628878745, 447.0523571098736, 414.4674907454237, 422.67434174681335, 424.9725402468677, 487.5394345417814]",7.0,8.0,8.0,0.630125655235601,0.0630125655235601,-7530.685234614535,3.8,26.86301256552356
100,4,0.001,30,136.99078,90.11015,0.4771027565002441,24.24884566466013,"[890974.3986635166, 227545.55616993466, 43387.460887126006, 35152.88280636983, 31142.891582039247, 25696.182349692266, 14871.968493265877, 11063.137901905842, 9843.901488558175, 9712.4017816402, 8894.238068568135, 7497.666343576523, 6645.365079071845, 5694.854031044323, 10085.037679580622, 8341.750065632783, 8647.837306426602, 8267.863067310449, 8445.944214183692, 8274.651295641104, 8184.006954293063, 8272.39596540959, 9129.016114847109, 8485.27116082537, 8236.298579869832, 8135.6463372926, 8113.846667210608, 7878.495615588526, 7594.064627643235, 7773.442718572492]",10.0,9.0,9.0,1.0,0.1,-7571.650206644809,3.7,31.8
50,4,0.001,30,133.57718,91.00032,0.4645983576774597,22.54754357337952,"[1140659.9433252593, 619813.9580078125, 297817.1109080752, 111013.61881172813, 41722.84918186238, 33568.5901997662, 25524.642809538862, 21819.905278834714, 17961.952331826156, 14010.073892002023, 11254.02517092176, 10602.98481898745, 9322.890522369651, 9081.482470699793, 8792.30230369318, 9010.721958543536, 8980.336405308486, 8252.989568785288, 7776.383536268009, 7904.1521574128665, 7808.776854402634, 7866.023988582161, 8440.223861386161, 8120.120019154778, 7713.866362242719, 7765.533658610681, 8176.638942402003, 7187.71254657762, 7368.305953413118, 7758.331244456195]",9.0,10.0,10.0,0.67388799719267,0.067388799719267,-13565.497500495901,3.3,32.367388799719265
