hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,combined_rank
100,3,5e-05,30,0.41747,0.22799772,0.9999927282333374,15.784781694412231,"[32811.94768182413, 55.267583626066234, 16.06387883279977, 4.835572996904756, 1.6684368239902774, 0.9816761023179916, 0.8096403415410426, 0.7347730403744684, 0.7043941695005206, 0.6821083040612111, 0.6633002267500759, 0.6433996233309306, 0.6160679130024972, 0.5931946314829626, 0.5788164622064956, 0.5655635363983059, 0.5412996165204272, 0.5249792520647185, 0.49949500804937824, 0.48755344939705364, 0.48410974384014044, 0.45914807427505755, 0.4430807734698293, 0.4420545022435462, 0.42050673796716004, 0.4065939605568523, 0.40172987379002545, 0.3763679178839846, 0.3795482561400965, 0.3619625794652475]",1.0,1.0,2.0,0.37130973366981396,0.037130973366981394,-212.13982065786232,1.3,5.337130973366981
50,2,0.001,30,0.4506325,0.23336005,0.9999930262565612,14.26832269032796,"[5716.834132463293, 11.745539777777992, 12.179412394192672, 4.855970377372944, 4.039186046043956, 3.832297184201584, 3.7250230371419293, 3.529599276690553, 3.377081825535167, 3.259941566423371, 3.1489632280958273, 3.0592677121815237, 2.922808021320209, 2.907905271782145, 2.746881452648327, 2.7551414955017974, 2.646168219235189, 2.5978555535100214, 2.5712904341358236, 2.507776934599634, 2.4753988179668998, 2.4346000884388124, 2.3530436023270638, 2.3431955534170736, 2.306482091852602, 2.2628480880348394, 2.2544046524036716, 2.2171270287078175, 2.1538101666841825, 2.0818649852205082]",2.0,2.0,1.0,0.0,0.0,-37.02682737535999,2.5,7.5
50,2,0.0005,30,0.46403292,0.3152762,0.9999918937683104,14.278799192110698,"[10978.425889338534, 16.009909466567844, 5.291748324776166, 3.1510956565804746, 2.420465822623408, 2.2153292608581583, 2.0562899931838254, 1.9719566199593002, 1.8976827041829598, 1.7775551914145935, 1.6987209313357956, 1.5290023285242846, 1.4745242294151841, 1.409639030905424, 1.3738731299852343, 1.321349169388942, 1.2827612250040825, 1.2680124617446067, 1.2072159747326723, 1.2074744746645132, 1.1619122337110699, 1.1047400740050513, 1.098448206638047, 1.0914769326036746, 1.029474693753118, 1.0225254856362658, 0.9897086177713657, 0.98262497801415, 0.9514035029737401, 0.9558689190749908]",3.0,3.0,3.0,0.002565204252975529,0.0002565204252975529,-70.97158229952261,2.1,11.100256520425297
100,2,0.0001,30,0.5240539,0.3571929,0.9999884366989136,14.407965167363484,"[16509.936249956685, 27.598385056049672, 7.226321836961962, 3.671907368835924, 2.2625589871526937, 1.5828012127091693, 1.2920267955027926, 1.0751264060768158, 0.9684989205383651, 0.84932418507534, 0.814388575287552, 0.7625411156504964, 0.6917971493798312, 0.6508518594803134, 0.6349953700674954, 0.6149424931520442, 0.5826861176133465, 0.5655899189108083, 0.539000730955715, 0.5123594544520886, 0.5074655189085854, 0.48271997225080415, 0.46583961518318695, 0.44991110158066455, 0.44283780544908824, 0.42889296738979893, 0.40723801077461463, 0.39626707101858927, 0.3864267835209012, 0.38199592145301164]",4.0,4.0,5.0,0.03419189758338644,0.0034191897583386445,-106.75338615512052,2.0,15.003419189758338
50,2,0.0001,30,0.5258938,0.40501136,0.9999899864196776,14.303018109003704,"[33932.106995955175, 50.313148681318395, 20.611721528702166, 10.981622727107924, 5.610483312668222, 3.100039157992042, 2.0554954267115084, 1.4718635886476485, 1.1478315748266192, 0.9646475242519971, 0.823374230365826, 0.7341535843214362, 0.6903387791856892, 0.6533127231802994, 0.6108218892528289, 0.5732768290827669, 0.5538967098945683, 0.5244069953685968, 0.5048568941717337, 0.48348929368286886, 0.4701721246736063, 0.4506835755454905, 0.4342230682502253, 0.42230260524366003, 0.4038524458649483, 0.39832097268942945, 0.3827538667810983, 0.369843154448297, 0.36222926440179004, 0.3506131661367271]",5.0,5.0,4.0,0.008495281859487235,0.0008495281859487235,-219.43131798829546,1.2,15.200849528185948
100,2,5e-05,30,0.5932448,0.4387023,0.999987244606018,14.460660831133524,"[31980.515210745118, 50.600397706877715, 16.47741092131453, 5.101400032798113, 2.2926057297533062, 1.4398707717303267, 1.1375474593120192, 1.0053753238090002, 0.9317723059290653, 0.8944124813942954, 0.8378999436184699, 0.7810639206037397, 0.7313522580821945, 0.6865936330637556, 0.6506294378203514, 0.6199036882971678, 0.590995463311843, 0.5726553200948454, 0.549167046501346, 0.5273506037624528, 0.506801585722247, 0.4868330741956968, 0.4745820081552824, 0.45715204864947784, 0.4430220299512229, 0.43441572640620896, 0.4148861483633152, 0.4088146968055354, 0.3904525532082687, 0.38221685921592335]",6.0,7.0,6.0,0.0470945957950159,0.004709459579501591,-206.7590874219498,1.5,20.5047094595795
100,4,5e-05,30,0.65944856,0.4284361,0.9999852776527404,17.06694339911143,"[29950.84634705968, 37.13306046020256, 11.115870588048317, 3.4941536776241584, 2.3589130873023225, 1.977939035153773, 1.8090502743499444, 1.674297460794091, 1.5936636569580331, 1.5145445063071707, 1.4576526338206075, 1.4099166306980182, 1.361542711397389, 1.3080731804633114, 1.266743751339346, 1.2271005572119777, 1.2014364409504465, 1.1540715214885329, 1.1046416950747615, 1.0753391624029776, 1.0552231040803561, 1.0054326586549345, 0.984183576127807, 0.9508784183023465, 0.9084111202976414, 0.8840301150657383, 0.8564375124858513, 0.8382382815592926, 0.810212985781483, 0.7743144224821814]",7.0,6.0,7.0,0.6852510402341673,0.06852510402341673,-193.5364454958677,1.7,21.768525104023418
50,4,0.0001,30,0.718157,0.5308005,0.999984860420227,17.33989269733429,"[29995.268560702625, 49.93993414538266, 25.955447556605506, 13.336279970085387, 7.689869488243779, 5.199712140388039, 3.672618150914405, 2.758344449108979, 2.131737478004207, 1.7005722147176718, 1.4515554102942934, 1.2802175090965453, 1.1235397506218534, 1.0424814321137315, 0.9894456242426709, 0.9238753483420254, 0.8695881738465718, 0.779549328165991, 0.7564314167141328, 0.7288959802760779, 0.696930499810941, 0.668872937746651, 0.6501888806975393, 0.639322672284556, 0.6202552064507997, 0.6117058529085927, 0.5961189807715976, 0.5793420376355748, 0.5739573816563954, 0.5719000714903242]",8.0,9.0,8.0,0.752083530235895,0.07520835302358951,-194.09741541356328,1.6,26.675208353023592
50,3,5e-05,30,0.7336272,0.49361426,0.9999831914901732,16.676192545890807,"[67184.95965830624, 70.21159998467395, 39.41908574403634, 21.227098259928447, 10.501841814705582, 5.230806466850846, 2.677247957881605, 1.2948376295750545, 0.779789679646126, 0.7272391102422134, 0.7103680297274826, 0.6974784281998506, 0.6849175072183596, 0.6697474827633573, 0.6582070842723863, 0.6397116641304558, 0.6322621713345667, 0.6266146939884318, 0.6004734025428308, 0.59208148111148, 0.5741988119631639, 0.5656662744558396, 0.551704585336161, 0.5430936279862216, 0.533167042176231, 0.5216883329532768, 0.5101044667751516, 0.4974119806480208, 0.4870896670699433, 0.48329901460387364]",9.0,8.0,9.0,0.5895744707721289,0.05895744707721289,-434.2680329294549,1.0,27.058957447077212
50,2,5e-05,30,0.7360162,0.5782855,0.999978482723236,14.3903111855189,"[60728.4627618519, 76.12205454368778, 42.75939734130447, 21.542909945284045, 7.979967742857389, 2.4781870070690344, 1.0122607580434906, 0.7111162049604344, 0.678478202251331, 0.6664655388502697, 0.6497491241570493, 0.6342217321116193, 0.6232694800161273, 0.6126688306568614, 0.5950386767172942, 0.5836045681132923, 0.5740289117975209, 0.5609606376759643, 0.5530509393287042, 0.538906441175879, 0.526286042849513, 0.5128195061506988, 0.5064027458940242, 0.4893555664942868, 0.48143818685591755, 0.47259430586224155, 0.46169274133898514, 0.44957141875132806, 0.4373850698697718, 0.4318384484250168]",10.0,11.0,11.0,0.029869264871740926,0.0029869264871740927,-392.6389877360235,1.1,33.102986926487176
