hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,combined_rank
100,2,0.0005,30,16.258429,11.051031,0.9889625310897828,18.11608009338379,"[1142544.0048273744, 624526.601443095, 302998.3489270606, 114805.34573724071, 42420.83274581443, 24412.007359667117, 13820.748062367002, 5729.189185217479, 1794.4373359680176, 746.6967370255024, 455.4087391240628, 333.85152624215624, 244.96280080522513, 186.02373458698847, 166.21069136092757, 143.42279878388845, 132.4679733483552, 123.10637160927448, 164.4695584852102, 161.39053204616604, 156.9154486526048, 135.10640347225177, 132.57937753616983, 125.40572076892748, 117.38039788890093, 138.71962573200335, 131.5449343977016, 124.39159414224228, 125.98974964972666, 115.46248613382531]",1.0,1.0,1.0,0.010675914781106109,0.001067591478110611,-13770.315088182426,3.5,6.50106759147811
100,2,0.001,30,59.52008,41.629898,0.8712117671966553,18.2461141983668,"[891363.4259560931, 227571.66610784407, 40707.82553320473, 21818.29983423891, 12808.327568753837, 5045.236419236296, 2024.60962937076, 1713.9885490252982, 1572.2881438180348, 1344.9173472208747, 1465.7165941858916, 1323.2661085191253, 1071.217259065553, 1019.8113821281617, 1237.5135469519935, 1425.3121160815376, 1234.3753715331898, 1181.7005590424267, 9874.047754466794, 7660.158266567247, 4004.6130564910354, 3369.091816373267, 3446.9522020348295, 3353.99222997807, 3286.098439429004, 3604.7615049187275, 3278.1607203171243, 3251.893071428657, 3468.835358465603, 3824.8528543497277]",2.0,2.0,2.0,0.048301000038188845,0.004830100003818885,-7377.245085015404,3.9,9.904830100003819
100,2,0.05,30,180.51357,126.68719,-0.0469820499420166,18.19621500968933,"[59903.988529122034, 35923.78601913785, 35920.94182603328, 35932.61580234844, 35930.73172010397]",6.0,5.0,3.0,0.03386277840014685,0.003386277840014685,-4793.768383482551,4.1,18.103386277840016
50,4,0.005,30,180.51607,128.51741,-0.0531907677650451,20.43391501903534,"[476192.5713935419, 36901.7698874661, 35846.13347828961, 35845.42379134399, 35848.48606639346, 35851.18553274896]",7.0,23.0,6.0,0.6813364057413621,0.06813364057413622,-62996.21401297512,1.3,37.368133640574136
100,2,0.005,30,180.70853,128.55368,-0.0563687086105346,18.143834590911865,"[266329.4240614712, 35848.94768407563, 35856.94189346513, 35852.11381417487, 35856.58057586803]",10.0,26.0,8.0,0.018706618233079463,0.0018706618233079464,-46094.25208411071,1.9,45.90187066182331
50,3,0.01,30,180.37782,128.94101,-0.0523691177368164,19.768750143051147,"[264505.7965531662, 35854.518218327816, 35851.20123477586, 35856.58953057835, 35849.075255747965]",4.0,35.0,5.0,0.48887239660935866,0.04888723966093587,-45731.13712825859,2.1,46.14888723966094
50,2,0.01,30,180.82184,128.32443,-0.0574062466621398,18.24235005378723,"[264456.42791088385, 35857.81178836739, 35849.82869510567, 35854.73391557052, 35850.63027594287]",16.0,18.0,11.0,0.047211852996766064,0.004721185299676607,-45721.467314267866,2.2,47.20472118529968
100,3,0.01,30,179.96544,129.74448,-0.0481138825416564,20.233329677581786,"[153990.0923672472, 35858.89287503838, 35862.21557217394, 35864.8770943854, 35859.42742326895]",3.0,37.0,4.0,0.6232974737665772,0.062329747376657724,-23625.534566860948,3.3,47.362329747376656
50,2,0.001,30,180.59575,128.77936,-0.055291473865509,18.145708057615494,"[1141718.8965099617, 620539.188288926, 298230.1663525177, 111196.52106965578, 41786.210735470966, 35844.22056826129, 35846.24274694451, 35845.92346351324, 35842.31941902794]",8.0,34.0,7.0,0.019248701746166545,0.0019248701746166547,-112961.77084254194,0.3,49.301924870174616
50,3,0.001,30,180.70374,128.65927,-0.0565518736839294,19.779482311672638,"[1140430.4040239493, 619710.7201487445, 297734.3186578876, 111042.94710410839, 41736.81922639405, 35842.506070532654, 35845.38876942464, 35845.15625839566, 35845.89809767544]",9.0,31.0,9.0,0.491977726241379,0.0491977726241379,-112815.21693644408,0.5,49.54919777262414
